"Committee","MTG #","Date","Start Time","End Time","Location"
"Bid Committee","44","2011-10-05","02:00 PM","03:00 PM","Committee Room 2, City Hall"
"Bid Committee","45","2011-10-12","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","46","2011-10-19","02:00 PM","03:00 PM","Meeting Room B, City Hall"
"Bid Committee","47","2011-10-27","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","48","2011-11-02","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","49","2011-11-09","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","50","2011-11-23","02:00 PM","03:00 PM","Committee Room 3, City Hall"
"Bid Committee","51","2011-11-30","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","52","2011-12-07","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","53","2011-12-14","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","54","2011-12-22","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","55","2012-01-04","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","56","2012-01-11","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","57","2012-01-18","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","58","2012-01-25","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","59","2012-02-01","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","60","2012-02-08","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","61","2012-02-15","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","62","2012-02-22","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","63","2012-02-29","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","64","2012-03-07","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","65","2012-03-14","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","66","2012-03-21","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","67","2012-03-28","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","68","2012-04-04","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","69","2012-04-11","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","70","2012-04-18","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","71","2012-04-25","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","72","2012-05-02","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","73","2012-05-09","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","74","2012-05-16","02:00 PM","10:00 PM","Meeting Room B, City Hall"
"Bid Committee","75","2012-05-23","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","76","2012-05-30","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","77","2012-06-06","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","78","2012-06-13","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","79","2012-06-20","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","80","2012-06-27","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","81","2012-07-04","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","82","2012-07-11","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","83","2012-07-18","02:00 PM","10:00 PM","Council Chamber, City Hall"
"Bid Committee","84","2012-07-25","02:00 PM","10:00 PM","Council Chamber, City Hall"
"Bid Committee","85","2012-08-01","02:00 PM","10:00 PM","Council Chamber, City Hall"
"Bid Committee","86","2012-08-08","02:00 PM","10:00 PM","Council Chamber, City Hall"
"Bid Committee","87","2012-08-15","02:00 PM","10:00 PM","Council Chamber, City Hall"
"Bid Committee","88","2012-08-22","02:00 PM","10:00 PM","Council Chamber, City Hall"
"Bid Committee","89","2012-08-29","02:00 PM","10:00 PM","Council Chamber, City Hall"
"Bid Committee","90","2012-09-05","02:00 PM","10:00 PM","Council Chamber, City Hall"
"Bid Committee","91","2012-09-19","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","92","2012-09-27","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","93","2012-10-03","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","94","2012-10-10","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","95","2012-10-17","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","96","2012-10-24","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","97","2012-10-31","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","98","2012-11-07","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","99","2012-11-14","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","100","2012-11-21","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","101","2012-11-28","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","102","2012-12-05","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","103","2012-12-12","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","104","2012-12-19","02:00 PM","10:00 PM","Committee Room 4, City Hall"
"Bid Committee","105","2013-01-02","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","106","2013-01-09","02:00 PM","06:00 PM","Committee Room 3, City Hall"
"Bid Committee","107","2013-01-16","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","108","2013-01-23","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","109","2013-01-30","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","110","2013-02-06","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","111","2013-02-13","02:00 PM","06:00 PM","Committee Room 3, City Hall"
"Bid Committee","112","2013-02-20","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","113","2013-02-27","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","114","2013-03-06","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","115","2013-03-13","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","116","2013-03-20","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","117","2013-03-27","02:00 PM","06:00 PM","Committee Room 3, City Hall"
"Bid Committee","118","2013-04-03","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","119","2013-04-10","02:00 PM","06:00 PM","Committee Room 3, City Hall"
"Bid Committee","120","2013-04-17","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","121","2013-04-24","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","122","2013-05-01","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","123","2013-05-08","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","124","2013-05-15","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","125","2013-05-22","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","126","2013-05-29","02:00 PM","06:00 PM","Committee Room 3, City Hall"
"Bid Committee","127","2013-06-05","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","128","2013-06-12","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","129","2013-06-19","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","130","2013-06-26","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","131","2013-07-03","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","132","2013-07-10","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","133","2013-07-17","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","134","2013-07-24","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","135","2013-07-31","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","136","2013-08-07","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","137","2013-08-14","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","138","2013-08-21","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","139","2013-08-28","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","140","2013-09-04","02:00 PM","06:00 PM","Committee Room 3, City Hall"
"Bid Committee","141","2013-09-11","02:00 PM","06:00 PM","Committee Room 3, City Hall"
"Bid Committee","142","2013-09-18","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","143","2013-09-25","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","144","2013-10-02","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","145","2013-10-09","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","146","2013-10-17","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","147","2013-10-23","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","148","2013-10-30","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","149","2013-11-06","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","150","2013-11-13","02:00 PM","06:00 PM","Committee Room 3, City Hall"
"Bid Committee","151","2013-11-20","02:00 PM","06:00 PM","Committee Room 3, City Hall"
"Bid Committee","152","2013-11-27","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","153","2013-12-04","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","154","2013-12-11","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Bid Committee","155","2013-12-18","02:00 PM","06:00 PM","Committee Room 4, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","1","2010-12-15","09:00 AM","10:00 PM","Committee Room 2, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","2","2011-03-01","09:00 AM","01:00 PM","Committee Room 4, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","3","2011-04-20","09:00 AM","01:00 PM","Committee Room 4, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","4","2011-07-05","09:00 AM","01:00 PM","Committee Room 4, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","5","2011-09-20","09:00 AM","01:00 PM","Committee Room 4, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","6","2011-12-15","09:00 AM","01:00 PM","Committee Room 4, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","7","2012-02-28","09:00 AM","10:00 PM","Committee Room 2, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","8","2012-04-30","04:00 PM","10:00 PM","Committee Room 2, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","9","2012-06-25","09:00 AM","10:00 PM","Committee Room 2, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","10","2012-09-27","09:00 AM","10:00 PM","Committee Room 1, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","11","2012-12-06","09:00 AM","10:00 PM","Committee Room 2, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","12","2013-02-14","09:00 AM","06:00 PM","Committee Room 2, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","13","2013-04-25","03:00 PM","06:00 PM","Committee Room 1, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","14","2013-06-06","09:00 AM","06:00 PM","Committee Room 2, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","15","2013-09-27","09:00 AM","06:00 PM","Committee Room 2, City Hall"
"Board of Directors of the Toronto Atmospheric Fund","16","2013-12-12","09:00 AM","06:00 PM","Committee Room 2, City Hall"
"Board of Health","1","2011-01-06","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","2","2011-03-01","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","3","2011-04-04","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","4","2011-05-09","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","5","2011-06-07","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","6","2011-07-26","01:00 PM","10:00 PM","Council Chamber, City Hall"
"Board of Health","7","2011-09-13","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","8","2011-10-17","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","9","2011-11-21","01:00 PM","10:00 PM","Committee Room 2, City Hall"
"Board of Health","10","2012-01-20","01:00 PM","10:00 PM","Committee Room 2, City Hall"
"Board of Health","11","2012-02-27","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","12","2012-04-02","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","13","2012-04-30","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","14","2012-05-28","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","15","2012-06-25","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","16","2012-09-24","01:00 PM","10:00 PM","Committee Room 2, City Hall"
"Board of Health","17","2012-10-22","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","18","2012-11-19","01:00 PM","10:00 PM","Committee Room 2, City Hall"
"Board of Health","19","2013-02-11","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","20","2013-03-25","01:00 PM","06:00 PM","Committee Room 1, City Hall"
"Board of Health","21","2013-04-29","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","22","2013-06-14","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","23","2013-07-10","01:00 PM","10:00 PM","Committee Room 2, City Hall"
"Board of Health","24","2013-09-30","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","25","2013-11-04","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","26","2013-12-09","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","27","2014-02-10","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","28","2014-03-24","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","29","2014-04-28","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","30","2014-06-03","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","31","2014-06-30","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Board of Health","32","2014-08-18","01:00 PM","10:00 PM","Committee Room 2, City Hall"
"Board of Health AIDS Prevention Community Investment Program Review Panel","1","2012-04-26","09:00 AM","06:00 PM","Committee Room 2, City Hall"
"Board of Health AIDS Prevention Community Investment Program Review Panel","2","2012-05-17","09:30 AM","06:00 PM","Committee Room 2, City Hall"
"Board of Health AIDS Prevention Community Investment Program Review Panel","3","2013-04-24","09:30 AM","01:00 PM","Committee Room 4, City Hall"
"Board of Health AIDS Prevention Community Investment Program Review Panel","4","2013-05-13","09:30 AM","06:00 PM","Committee Room 3, City Hall"
"Board of Health Budget Committee","1","2011-04-11","12:30 PM","02:00 PM","Committee Room 3, City Hall"
"Board of Health Budget Committee","2","2011-05-30","11:30 AM","01:00 PM","Committee Room 3, City Hall"
"Board of Health Budget Committee","3","2011-07-06","10:30 AM","12:00 PM","Committee Room 2, City Hall"
"Board of Health Budget Committee","4","2012-05-25","10:00 AM","10:00 PM","Meeting Room C, City Hall"
"Board of Health Budget Committee","5","2012-06-28","11:30 AM","12:30 PM","Committee Room 2, City Hall"
"Board of Health Budget Committee","6","2012-09-27","01:00 PM","03:00 PM","Meeting Room A, City Hall"
"Board of Health Budget Committee","7","2013-06-14","10:30 AM","12:00 PM","Committee Room 3, City Hall"
"Board of Health Drug Prevention Community Investment Program Review Panel","1","2012-04-23","09:00 AM","06:00 PM","Committee Room 3, City Hall"
"Board of Health Drug Prevention Community Investment Program Review Panel","2","2012-05-18","09:30 AM","06:00 PM","Committee Room 4, City Hall"
"Board of Health Drug Prevention Community Investment Program Review Panel","3","2013-04-22","09:30 AM","06:00 PM","Committee Room 4, City Hall"
"Board of Health Drug Prevention Community Investment Program Review Panel","4","2013-05-15","09:30 AM","06:00 PM","Committee Room 3, City Hall"
"Board of Health Medical Officer of Health Performance Appraisal Committee","1","2013-04-23","11:30 AM","06:00 PM","Meeting Room B, City Hall"
"Board of Management of the Toronto Zoo","1","2011-02-14","02:00 PM","05:00 PM","Committee Room 1, City Hall"
"Board of Management of the Toronto Zoo","2","2011-03-03","10:00 AM","12:00 PM","Toronto Zoo Boardroom, 361A Old Finch Avenue"
"Board of Management of the Toronto Zoo","3","2011-04-07","02:00 PM","04:00 PM","Committee Room 2, City Hall"
"Board of Management of the Toronto Zoo","4","2011-04-14","08:45 AM","04:00 PM","Exhibition Place, Allstream Centre, Room 200B, 100 Princes Blvd."
"Board of Management of the Toronto Zoo","5","2011-05-12","10:00 AM","10:00 PM","Toronto Zoo Atrium, 361A Old Finch Avenue"
"Board of Management of the Toronto Zoo","6","2011-06-09","02:00 PM","10:00 PM","Committee Room 2, City Hall"
"Board of Management of the Toronto Zoo","7","2011-07-07","10:00 AM","10:00 PM","Toronto Zoo Boardroom, 361A Old Finch Avenue"
"Board of Management of the Toronto Zoo","8","2011-10-20","10:00 AM","10:00 PM","Toronto Zoo Boardroom, 361A Old Finch Avenue"
"Board of Management of the Toronto Zoo","9","2011-11-24","02:00 PM","10:00 PM","Committee Room 2, City Hall"
"Board of Management of the Toronto Zoo","10","2012-02-02","10:00 AM","05:00 PM","Toronto Zoo Boardroom, 361A Old Finch Avenue"
"Board of Management of the Toronto Zoo","11","2012-04-05","01:00 PM","05:00 PM","Committee Room 2, City Hall"
"Board of Management of the Toronto Zoo","12","2012-05-31","10:00 AM","05:00 PM","Toronto Zoo Boardroom, 361A Old Finch Avenue"
"Board of Management of the Toronto Zoo","13","2012-06-11","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Board of Management of the Toronto Zoo","14","2012-07-05","02:00 PM","05:00 PM","Committee Room 2, City Hall"
"Board of Management of the Toronto Zoo","15","2012-09-05","10:30 AM","10:00 PM","Meeting Room 304, Metro Hall"
"Board of Management of the Toronto Zoo","16","2012-09-25","10:00 AM","05:00 PM","Toronto Zoo Boardroom, 361A Old Finch Avenue"
"Board of Management of the Toronto Zoo","17","2012-10-25","02:00 PM","05:00 PM","Committee Room 2, City Hall"
"Board of Management of the Toronto Zoo","18","2012-12-18","10:00 AM","06:00 PM","Toronto Zoo Boardroom, 361A Old Finch Avenue"
"Board of Management of the Toronto Zoo","19","2013-02-15","10:00 AM","06:00 PM","Committee Room 1, City Hall"
"Board of Management of the Toronto Zoo","20","2013-04-11","02:00 PM","06:00 PM","Committee Room 2, City Hall"
"Board of Management of the Toronto Zoo","21","2013-04-30","10:00 AM","06:00 PM","Toronto Zoo Boardroom, 361A Old Finch Avenue"
"Board of Management of the Toronto Zoo","22","2013-07-04","02:00 PM","06:00 PM","Committee Room 2, City Hall"
"Board of Management of the Toronto Zoo","23","2013-09-26","10:00 AM","06:00 PM","Toronto Zoo Boardroom, 361A Old Finch Avenue"
"Board of Management of the Toronto Zoo","24","2013-10-31","02:00 PM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","1","2010-12-14","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","2","2010-12-16","12:45 PM","01:45 PM","Committee Room 1, City Hall"
"Budget Committee","3","2011-01-10","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","4","2011-01-11","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","5","2011-01-12","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","6","2011-01-13","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","7","2011-01-14","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","7","2011-01-20","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","8","2011-01-24","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","8","2011-01-25","01:30 PM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","9","2011-02-10","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","10","2011-04-05","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","11","2011-05-10","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","12","2011-06-07","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","13","2011-08-23","09:30 AM","10:00 PM","Committee Room 1, City Hall"
